,Date,Instrument,GICS Sector,BUY_SELL,Probability
29,2019-07-16,JNJ,Health Care,SELL,0.4769535538275178
30,2019-07-16,GS,Financials,BUY,0.518930058404225
31,2019-07-16,WFC,Financials,BUY,0.5178755773131458
32,2019-07-16,SCHW,Financials,BUY,0.5184820401819523
33,2019-07-16,PLD,Real Estate,SELL,0.48557859153282806
34,2019-07-16,DPZ,Consumer Discretionary,SELL,0.4996461055911531
35,2019-07-16,FRC,Financials,BUY,0.5051002744048132
36,2019-07-16,JPM,Financials,BUY,0.5066124926429336
37,2019-07-16,UAL,Industrials,BUY,0.5246835957430265
38,2019-07-17,USB,Financials,BUY,0.5114395466371291
39,2019-07-17,CMA,Financials,BUY,0.5264199447836764
40,2019-07-17,BAC,Financials,BUY,0.5113829211426351
41,2019-07-17,EBAY,Consumer Discretionary,BUY,0.5010447496683327
42,2019-07-17,PNC,Financials,BUY,0.5103456207086849
43,2019-07-17,TXT,Industrials,BUY,0.5097936396489091
44,2019-07-17,CCI,Real Estate,SELL,0.47916245717799233
45,2019-07-17,ABT,Health Care,SELL,0.48767497242507757
46,2019-07-17,NFLX,Communication Services,SELL,0.48183195026161807
47,2019-07-17,PGR,Financials,BUY,0.5077508507324017
48,2019-07-17,IBM,Information Technology,BUY,0.5116702704406519
49,2019-07-17,CSX,Industrials,BUY,0.5142054322136189
50,2019-07-17,KMI,Energy,SELL,0.3104928922040356
51,2019-07-17,OMC,Communication Services,SELL,0.4904914217080819
52,2019-07-17,BK,Financials,BUY,0.5068810372921915
53,2019-07-17,URI,Industrials,BUY,0.5132091787754836
54,2019-07-18,DOV,Industrials,BUY,0.5141411424902401
55,2019-07-18,MSFT,Information Technology,BUY,0.5207809939624275
56,2019-07-18,MS,Financials,BUY,0.5211255224856984
57,2019-07-18,MTB,Financials,BUY,0.5104536178813932
58,2019-07-18,UNP,Industrials,BUY,0.5146302493015623
59,2019-07-18,HON,Industrials,BUY,0.5119154482776931
60,2019-07-18,UNH,Health Care,SELL,0.48108149241913417
61,2019-07-18,TFC,Financials,BUY,0.5106228979040703
62,2019-07-18,COF,Financials,BUY,0.5282866870870396
63,2019-07-18,NUE,Materials,BUY,0.5003776366782858
64,2019-07-18,POOL,Consumer Discretionary,BUY,0.5086327686136819
65,2019-07-18,SNA,Industrials,BUY,0.5150624323972
66,2019-07-18,GPC,Consumer Discretionary,BUY,0.5087929430055668
67,2019-07-18,PM,Consumer Staples,SELL,0.37996795419198165
68,2019-07-18,ISRG,Health Care,SELL,0.4758437384949452
69,2019-07-18,DHR,Health Care,SELL,0.4837349583106909
70,2019-07-18,PPG,Materials,SELL,0.49409052097671263
71,2019-07-18,PBCT,Financials,BUY,0.5150182537152367
72,2019-07-19,BLK,Financials,BUY,0.5102036428586146
73,2019-07-19,SLB,Energy,SELL,0.3645245613682285
74,2019-07-19,RF,Financials,BUY,0.52332928192994
75,2019-07-19,KSU,Industrials,BUY,0.5097394162930322
76,2019-07-19,NVR,Consumer Discretionary,BUY,0.5072511942289443
77,2019-07-19,SYF,Financials,BUY,0.5002499549117276
78,2019-07-19,STT,Financials,BUY,0.5559001555293989
79,2019-07-19,AXP,Financials,BUY,0.5193605554838172
80,2019-07-19,CFG,Financials,BUY,0.5311744442056874
81,2019-07-22,WHR,Consumer Discretionary,BUY,0.5115540276106245
82,2019-07-22,CE,Materials,SELL,0.490448023063118
83,2019-07-22,ZION,Financials,BUY,0.5174562542648189
84,2019-07-22,CDNS,Information Technology,BUY,0.5225289254522014
85,2019-07-22,HAL,Energy,SELL,0.39867292412727706
86,2019-07-23,LW,Consumer Staples,SELL,0.39196662958338685
87,2019-07-23,DFS,Financials,BUY,0.5138693293079326
88,2019-07-23,BIIB,Health Care,SELL,0.4637013249965402
89,2019-07-23,KO,Consumer Staples,SELL,0.38628941592153254
90,2019-07-23,WRB,Financials,BUY,0.5163363491443335
91,2019-07-23,V,Information Technology,BUY,0.5187904255981058
92,2019-07-23,SWK,Industrials,BUY,0.5136269939705708
93,2019-07-23,PNR,Industrials,BUY,0.5107463524638076
94,2019-07-23,CNC,Health Care,SELL,0.46878032537907244
95,2019-07-23,AVY,Materials,SELL,0.4924264903834565
96,2019-07-23,LMT,Industrials,BUY,0.512919916572958
97,2019-07-23,PCAR,Industrials,BUY,0.5117332135380297
98,2019-07-23,FITB,Financials,BUY,0.5086788620072923
99,2019-07-23,PHM,Consumer Discretionary,BUY,0.501080175428893
100,2019-07-23,FE,Utilities,BUY,0.516300863016722
101,2019-07-23,CMG,Consumer Discretionary,BUY,0.5087040567508888
102,2019-07-23,RTX,Industrials,BUY,0.5036474393814474
103,2019-07-23,EW,Health Care,SELL,0.4821546403944459
104,2019-07-23,HAS,Consumer Discretionary,BUY,0.5088036806849818
105,2019-07-23,DGX,Health Care,SELL,0.4764937939030415
106,2019-07-23,IPG,Communication Services,SELL,0.49178064822760603
107,2019-07-23,CB,Financials,BUY,0.5020525612295507
108,2019-07-23,RHI,Industrials,BUY,0.5216547287719397
109,2019-07-23,TRV,Financials,BUY,0.5010830815056068
110,2019-07-23,TXN,Information Technology,BUY,0.5143675303819739
111,2019-07-23,KEY,Financials,BUY,0.5235568753988372
112,2019-07-23,TER,Information Technology,BUY,0.5180690289711921
113,2019-07-23,SHW,Materials,SELL,0.48748290647498005
114,2019-07-24,HLT,Consumer Discretionary,BUY,0.5026686834075342
115,2019-07-24,DTE,Utilities,BUY,0.5004587394453782
116,2019-07-24,CTXS,Information Technology,BUY,0.5107786245074029
117,2019-07-24,ALXN,Health Care,SELL,0.47768103355508496
118,2019-07-24,MKTX,Financials,BUY,0.5407944201406267
119,2019-07-24,FCX,Materials,SELL,0.4745605031745152
120,2019-07-24,ESS,Real Estate,SELL,0.47358277344501415
121,2019-07-24,TMO,Health Care,SELL,0.4816298559096358
122,2019-07-24,NOW,Information Technology,BUY,0.5228877986841735
123,2019-07-24,F,Consumer Discretionary,BUY,0.5021495725105413
124,2019-07-24,NDAQ,Financials,BUY,0.5179417828339412
125,2019-07-24,VFC,Consumer Discretionary,SELL,0.49837499392002366
126,2019-07-24,GD,Industrials,BUY,0.5084390110804905
127,2019-07-24,ALGN,Health Care,SELL,0.4747056532003302
128,2019-07-24,GL,Financials,BUY,0.5029891740520614
129,2019-07-24,FB,Communication Services,SELL,0.4922755014046379
130,2019-07-24,CERN,Health Care,SELL,0.47865191204785135
131,2019-07-24,TSLA,Consumer Discretionary,BUY,0.5076093915425174
132,2019-07-24,LVS,Consumer Discretionary,BUY,0.5002800857886858
133,2019-07-24,PTC,Information Technology,BUY,0.5141686632222882
134,2019-07-24,FFIV,Information Technology,BUY,0.5193102058694016
135,2019-07-24,AMP,Financials,BUY,0.5031793990494182
136,2019-07-24,CAT,Industrials,BUY,0.5145431746317989
137,2019-07-24,TROW,Financials,BUY,0.5133097079049082
138,2019-07-24,GWW,Industrials,BUY,0.5116859134348469
139,2019-07-24,ROL,Industrials,BUY,0.5057081404532044
140,2019-07-24,NEE,Utilities,BUY,0.5145410631103197
141,2019-07-24,NOC,Industrials,BUY,0.5213517550082
142,2019-07-24,PKG,Materials,SELL,0.4925096692511473
143,2019-07-24,ANTM,Health Care,SELL,0.48661217878114904
144,2019-07-24,NSC,Industrials,BUY,0.5147341635150015
145,2019-07-24,XLNX,Information Technology,BUY,0.5284219486013426
146,2019-07-24,ORLY,Consumer Discretionary,BUY,0.5075372777406617
147,2019-07-24,NTRS,Financials,BUY,0.5108680148698991
148,2019-07-24,APH,Information Technology,BUY,0.5185299959068366
149,2019-07-24,EFX,Industrials,BUY,0.5121037444081425
150,2019-07-24,BSX,Health Care,SELL,0.48492627045286096
151,2019-07-24,TEL,Information Technology,BUY,0.5133119854003465
152,2019-07-24,IQV,Health Care,SELL,0.48715673406131055
153,2019-07-24,BA,Industrials,SELL,0.49412173023478223
154,2019-07-24,RJF,Financials,BUY,0.5015003285879797
155,2019-07-24,PYPL,Information Technology,BUY,0.5192394791180573
156,2019-07-24,UPS,Industrials,BUY,0.5198802251877755
157,2019-07-24,TDY,Industrials,BUY,0.5214518058447608
158,2019-07-24,T,Communication Services,SELL,0.4949037263473143
159,2019-07-25,EIX,Utilities,BUY,0.5113221858071484
160,2019-07-25,VRSN,Information Technology,BUY,0.5140462495328175
161,2019-07-25,GOOGL,Communication Services,SELL,0.4896599429011878
162,2019-07-25,MGM,Consumer Discretionary,BUY,0.5004483442436553
163,2019-07-25,AEP,Utilities,BUY,0.5117059602212429
164,2019-07-25,NEM,Materials,SELL,0.48759198166037526
165,2019-07-25,LKQ,Consumer Discretionary,BUY,0.5110470379984193
166,2019-07-25,BWA,Consumer Discretionary,BUY,0.5050566110944278
167,2019-07-25,VMC,Materials,SELL,0.4865589195679436
168,2019-07-25,AMZN,Consumer Discretionary,SELL,0.4990995484435057
169,2019-07-25,AFL,Financials,BUY,0.5044929863716736
170,2019-07-25,ALK,Industrials,BUY,0.5155070948042794
171,2019-07-25,CMCSA,Communication Services,SELL,0.4916461557843995
172,2019-07-25,LH,Health Care,SELL,0.4776763134981735
173,2019-07-25,SBUX,Consumer Discretionary,BUY,0.5133943391112721
174,2019-07-25,UHS,Health Care,SELL,0.4760232444882522
175,2019-07-25,DOW,Materials,SELL,0.4866888365441156
176,2019-07-25,IP,Materials,SELL,0.49109151436326626
177,2019-07-25,PFG,Financials,BUY,0.5167769318213734
178,2019-07-25,WM,Industrials,BUY,0.5174239137921995
179,2019-07-25,RMD,Health Care,SELL,0.48249217607270917
180,2019-07-25,LUV,Industrials,BUY,0.5171826625509363
181,2019-07-25,AJG,Financials,BUY,0.5176687363145983
182,2019-07-25,SIVB,Financials,SELL,0.4892801518771354
183,2019-07-25,AAL,Industrials,BUY,0.5103627278074335
184,2019-07-25,VLO,Energy,SELL,0.40578191892910964
185,2019-07-25,HSY,Consumer Staples,SELL,0.38627172438860624
186,2019-07-25,MHK,Consumer Discretionary,BUY,0.5087733902768701
187,2019-07-25,ROK,Industrials,BUY,0.5056576405941146
188,2019-07-25,FTV,Industrials,BUY,0.5071392106124787
189,2019-07-25,ALLE,Industrials,BUY,0.5146001660819247
190,2019-07-25,KIM,Real Estate,SELL,0.4600107659257457
191,2019-07-25,SYK,Health Care,SELL,0.48217543166593985
192,2019-07-25,IEX,Industrials,BUY,0.5145355229845557
193,2019-07-25,BAX,Health Care,SELL,0.48033093321295495
194,2019-07-25,ODFL,Industrials,BUY,0.5166140442515816
195,2019-07-25,MMM,Industrials,BUY,0.5112115769598354
196,2019-07-25,RCL,Consumer Discretionary,BUY,0.50030846828374
197,2019-07-25,APD,Materials,BUY,0.5047870172428641
198,2019-07-25,WST,Health Care,SELL,0.48156643920721204
199,2019-07-25,BMY,Health Care,SELL,0.4616563224727488
200,2019-07-25,ROP,Industrials,BUY,0.5172813417791342
201,2019-07-25,LYV,Communication Services,SELL,0.4935863446848092
202,2019-07-25,EXPE,Consumer Discretionary,BUY,0.5059549003469123
203,2019-07-25,EMN,Materials,SELL,0.4876935335050511
204,2019-07-25,CMS,Utilities,BUY,0.5094159875636639
205,2019-07-25,TSCO,Consumer Discretionary,BUY,0.5101373719075291
206,2019-07-25,MAS,Industrials,BUY,0.5213998648388816
207,2019-07-25,JNPR,Information Technology,BUY,0.5120798966085236
208,2019-07-25,FISV,Information Technology,BUY,0.5190234356412646
209,2019-07-25,RSG,Industrials,BUY,0.5179845685873161
210,2019-07-25,TMUS,Communication Services,SELL,0.487968339818749
211,2019-07-25,HBAN,Financials,BUY,0.5159345940244453
212,2019-07-25,IVZ,Financials,BUY,0.5221484439400287
213,2019-07-26,CL,Consumer Staples,SELL,0.3813316513695092
214,2019-07-26,MCD,Consumer Discretionary,BUY,0.5079170875712166
215,2019-07-26,ABBV,Health Care,SELL,0.4858273800446671
216,2019-07-26,VTR,Real Estate,SELL,0.4830167980228434
217,2019-07-26,INTC,Information Technology,BUY,0.5249131856981075
218,2019-07-26,PSX,Energy,SELL,0.4360601802917886
219,2019-07-26,CHTR,Communication Services,SELL,0.4875384932539333
220,2019-07-26,TWTR,Communication Services,SELL,0.47877037342741224
221,2019-07-26,AON,Financials,BUY,0.5220332205728017
222,2019-07-26,COG,Energy,SELL,0.3374234161299847
223,2019-07-26,WY,Real Estate,SELL,0.4373640768188546
224,2019-07-26,ITW,Industrials,BUY,0.5085670580198962
225,2019-07-26,ZBH,Health Care,SELL,0.4785947184178172
226,2019-07-29,NOV,Energy,SELL,0.3502577238228543
227,2019-07-29,PFE,Health Care,SELL,0.47745197673013073
228,2019-07-29,PKI,Health Care,SELL,0.4808291405728782
229,2019-07-29,RE,Financials,BUY,0.510630919917859
230,2019-07-29,SBAC,Real Estate,BUY,0.51094940386246
231,2019-07-29,DISH,Communication Services,SELL,0.49112410349803076
232,2019-07-29,VNO,Real Estate,SELL,0.4584116796446954
233,2019-07-29,ILMN,Health Care,SELL,0.4759903663181162
234,2019-07-29,LEG,Consumer Discretionary,BUY,0.5047721086958559
235,2019-07-29,VTRS,Health Care,SELL,0.2377596775756059
236,2019-07-29,ARE,Real Estate,SELL,0.4581416443757076
237,2019-07-30,OKE,Energy,SELL,0.3240699035033047
238,2019-07-30,ECL,Materials,SELL,0.4980752392105886
239,2019-07-30,CHRW,Industrials,BUY,0.5119291423078924
240,2019-07-30,MO,Consumer Staples,SELL,0.3544067537914076
241,2019-07-30,MXIM,Information Technology,BUY,0.5145536006707523
242,2019-07-30,INCY,Health Care,SELL,0.48380184306946716
243,2019-07-30,EQR,Real Estate,SELL,0.4818008202923253
244,2019-07-30,AOS,Industrials,BUY,0.5168182392791565
245,2019-07-30,UA,Consumer Discretionary,BUY,0.5023937876633195
246,2019-07-30,MA,Information Technology,BUY,0.5195403790357782
247,2019-07-30,AMGN,Health Care,SELL,0.47436204794326586
248,2019-07-30,RL,Consumer Discretionary,BUY,0.505031731365701
249,2019-07-30,AKAM,Information Technology,BUY,0.5128721991879601
250,2019-07-30,EA,Communication Services,SELL,0.48929186430847144
251,2019-07-30,CMI,Industrials,BUY,0.5145421685857555
252,2019-07-30,AME,Industrials,BUY,0.5121710560869467
253,2019-07-30,ZBRA,Information Technology,BUY,0.5175826545798892
254,2019-07-30,VRSK,Industrials,BUY,0.5130160425849826
255,2019-07-30,GLW,Information Technology,BUY,0.5116537863489193
256,2019-07-30,TT,Industrials,BUY,0.5164154238036817
257,2019-07-30,IPGP,Information Technology,BUY,0.5229865138004233
258,2019-07-30,IT,Information Technology,BUY,0.5161896024386887
259,2019-07-30,PAYC,Information Technology,BUY,0.5202894055569108
260,2019-07-30,NXPI,Information Technology,BUY,0.511708577567655
261,2019-07-30,HCA,Health Care,SELL,0.4795977948661863
262,2019-07-30,UAA,Consumer Discretionary,BUY,0.5017068914692163
263,2019-07-30,UDR,Real Estate,SELL,0.49013529256295635
264,2019-07-30,ENPH,Information Technology,BUY,0.5260923977311335
265,2019-07-30,FMC,Materials,SELL,0.49748676531064595
266,2019-07-30,ETN,Industrials,BUY,0.5141458084621765
267,2019-07-30,EXR,Real Estate,SELL,0.4807658370406757
268,2019-07-30,ALL,Financials,BUY,0.5138814283319849
269,2019-07-30,AMD,Information Technology,BUY,0.5162817185578182
270,2019-07-30,AAPL,Information Technology,BUY,0.5141355735475642
271,2019-07-30,DHI,Consumer Discretionary,BUY,0.5048404115334116
272,2019-07-30,DLR,Real Estate,SELL,0.44223860652641916
273,2019-07-30,LLY,Health Care,SELL,0.48346080953782805
274,2019-07-30,UNM,Financials,BUY,0.5532519519011087
275,2019-07-30,BEN,Financials,BUY,0.5007544188796833
276,2019-07-30,MLM,Materials,SELL,0.49279093164424204
277,2019-07-30,PSA,Real Estate,SELL,0.4717731173858744
278,2019-07-30,BXP,Real Estate,SELL,0.45687269874484765
279,2019-07-30,GILD,Health Care,SELL,0.4653954871171538
280,2019-07-30,CINF,Financials,BUY,0.5211236112051675
281,2019-07-30,COP,Energy,SELL,0.35417476551439825
282,2019-07-30,WAB,Industrials,BUY,0.5074700467737202
283,2019-07-30,LDOS,Industrials,BUY,0.5164116719682944
284,2019-07-30,MRK,Health Care,SELL,0.4859097769244892
285,2019-07-30,MMC,Financials,BUY,0.5147477496296016
286,2019-07-30,GPN,Information Technology,BUY,0.5186408991296352
287,2019-07-30,WAT,Health Care,SELL,0.4777986391509738
288,2019-07-30,MDLZ,Consumer Staples,SELL,0.3571721497537225
289,2019-07-30,PG,Consumer Staples,SELL,0.39910058764878775
290,2019-07-31,D,Utilities,BUY,0.5090703926422514
291,2019-07-31,NLSN,Industrials,BUY,0.5116716510683584
292,2019-07-31,IR,Industrials,BUY,0.5103729342233828
293,2019-07-31,WDC,Information Technology,BUY,0.5482410918614441
294,2019-07-31,TRMB,Information Technology,BUY,0.5114286735479089
295,2019-07-31,SPG,Real Estate,SELL,0.4454661007652454
296,2019-07-31,JCI,Industrials,BUY,0.5388246210361536
297,2019-07-31,ADP,Information Technology,BUY,0.5164256912083734
298,2019-07-31,PRU,Financials,BUY,0.536808400794684
299,2019-07-31,HOLX,Health Care,SELL,0.4812925618957968
300,2019-07-31,AMT,Real Estate,BUY,0.5037068313631241
301,2019-07-31,CRL,Health Care,SELL,0.4790114566608583
302,2019-07-31,TYL,Information Technology,BUY,0.5093415954163025
303,2019-07-31,CTSH,Information Technology,BUY,0.5183062237990154
304,2019-07-31,CHD,Consumer Staples,SELL,0.3769063754796026
305,2019-07-31,OXY,Energy,SELL,0.384260484734636
306,2019-07-31,GE,Industrials,SELL,0.4986802066672738
307,2019-07-31,CDW,Information Technology,BUY,0.5233792116444703
308,2019-07-31,HES,Energy,SELL,0.29991629959754823
309,2019-07-31,WELL,Real Estate,SELL,0.48006182799819785
310,2019-07-31,DRE,Real Estate,SELL,0.471499783376843
311,2019-07-31,APTV,Consumer Discretionary,BUY,0.5057594191122046
312,2019-07-31,QCOM,Information Technology,BUY,0.520383298827056
313,2019-07-31,CF,Materials,SELL,0.4970442584528055
314,2019-07-31,MCO,Financials,BUY,0.5204561412924008
315,2019-07-31,PEG,Utilities,BUY,0.5003558437578052
316,2019-07-31,ETR,Utilities,BUY,0.5074991735245502
317,2019-07-31,GRMN,Consumer Discretionary,BUY,0.5035609941051592
318,2019-07-31,HUM,Health Care,SELL,0.4711178528415055
319,2019-07-31,WLTW,Financials,BUY,0.513224495896825
320,2019-07-31,EQIX,Real Estate,SELL,0.46992413027190466
321,2019-07-31,ES,Utilities,BUY,0.5062451023614929
322,2019-07-31,CME,Financials,BUY,0.5141679128072315
323,2019-07-31,SO,Utilities,BUY,0.5110830784267634
324,2019-07-31,NI,Utilities,BUY,0.51163920658327
325,2019-07-31,TAP,Consumer Staples,SELL,0.2905921369249229
326,2019-07-31,BKR,Energy,SELL,0.3789024351149651
327,2019-07-31,PEAK,Real Estate,SELL,0.4849052529878034
328,2019-07-31,LNC,Financials,BUY,0.5490025585651523
329,2019-07-31,AWK,Utilities,BUY,0.5055427822166438
330,2019-07-31,LRCX,Information Technology,BUY,0.5177120520165982
331,2019-07-31,DXCM,Health Care,SELL,0.49173167355356784
332,2019-07-31,MET,Financials,BUY,0.5400553880708199
333,2019-07-31,MAA,Real Estate,SELL,0.46548728222076086
334,2019-07-31,WMB,Energy,SELL,0.32246551868155776
335,2019-07-31,VRTX,Health Care,SELL,0.4772929325158637
336,2019-07-31,MCK,Health Care,SELL,0.4488398394984283
337,2019-07-31,MPWR,Information Technology,BUY,0.5123314998134868
338,2019-08-01,ED,Utilities,SELL,0.497917889029839
339,2019-08-01,WRK,Materials,BUY,0.5084410297617465
340,2019-08-01,MSCI,Financials,BUY,0.5217767231632701
341,2019-08-01,HIG,Financials,BUY,0.5096554469171185
342,2019-08-01,SPGI,Financials,BUY,0.5312625287227157
343,2019-08-01,ABC,Health Care,SELL,0.4712184952618589
344,2019-08-01,CI,Health Care,SELL,0.4704719075052235
345,2019-08-01,HII,Industrials,BUY,0.5085743695819754
346,2019-08-01,FRT,Real Estate,SELL,0.45451424496815757
347,2019-08-01,BLL,Materials,BUY,0.5024875445305494
348,2019-08-01,HBI,Consumer Discretionary,BUY,0.5076168574622035
349,2019-08-01,FTNT,Information Technology,BUY,0.5173597405628975
350,2019-08-01,K,Consumer Staples,SELL,0.3881122330026734
351,2019-08-01,GNRC,Industrials,BUY,0.5237169602664571
352,2019-08-01,YUM,Consumer Discretionary,BUY,0.5098429831854835
353,2019-08-01,DD,Materials,SELL,0.48171755926745574
354,2019-08-01,VZ,Communication Services,SELL,0.48813700094988727
355,2019-08-01,PWR,Industrials,BUY,0.5016026840253537
356,2019-08-01,BIO,Health Care,SELL,0.4798197753771173
357,2019-08-01,GM,Consumer Discretionary,BUY,0.5086918458220072
358,2019-08-01,PENN,Consumer Discretionary,BUY,0.508167460918045
359,2019-08-01,FBHS,Industrials,BUY,0.514597960265682
360,2019-08-01,EOG,Energy,SELL,0.37621139124428005
361,2019-08-01,AVB,Real Estate,SELL,0.4597882347088668
362,2019-08-01,ABMD,Health Care,SELL,0.48624631345096214
363,2019-08-01,IRM,Real Estate,SELL,0.44170844591098996
364,2019-08-01,MSI,Information Technology,BUY,0.5194532323677147
365,2019-08-01,CLX,Consumer Staples,SELL,0.37840351816482437
366,2019-08-01,EXC,Utilities,BUY,0.5208813786516253
367,2019-08-01,ETSY,Consumer Discretionary,SELL,0.4995645710368877
368,2019-08-01,WU,Information Technology,BUY,0.5130409433903622
369,2019-08-01,BR,Information Technology,BUY,0.5164541527894112
370,2019-08-01,TFX,Health Care,SELL,0.4865762011860021
371,2019-08-01,ANET,Information Technology,BUY,0.5212272966103785
372,2019-08-01,DVA,Health Care,SELL,0.467326413058759
373,2019-08-01,MPC,Energy,SELL,0.47354794842923903
374,2019-08-01,XYL,Industrials,BUY,0.5073707439011789
375,2019-08-01,ICE,Financials,BUY,0.5155953812364233
376,2019-08-01,LNT,Utilities,BUY,0.5063417925389476
377,2019-08-01,PH,Industrials,BUY,0.5119694054659505
378,2019-08-01,CBRE,Real Estate,SELL,0.46761120506181447
379,2019-08-01,QRVO,Information Technology,BUY,0.5135391621547527
380,2019-08-01,ADM,Consumer Staples,SELL,0.3553597824224457
381,2019-08-01,IDXX,Health Care,SELL,0.47896242710465253
382,2019-08-01,XEL,Utilities,BUY,0.5083601479551442
383,2019-08-01,APA,Energy,SELL,0.3620605347087139
384,2019-08-02,CBOE,Financials,BUY,0.5195197892445651
385,2019-08-02,AEE,Utilities,BUY,0.5106501357392286
386,2019-08-02,SRE,Utilities,BUY,0.504721576165929
387,2019-08-02,REG,Real Estate,SELL,0.4480712246754424
388,2019-08-02,SEE,Materials,SELL,0.4876018828421044
389,2019-08-02,STX,Information Technology,BUY,0.511034592189498
390,2019-08-02,CVX,Energy,SELL,0.3276858109187924
391,2019-08-02,LYB,Materials,BUY,0.5079143092202321
392,2019-08-02,HWM,Industrials,BUY,0.5053140037905143
393,2019-08-02,XOM,Energy,SELL,0.34816207615896194
394,2019-08-02,MTD,Health Care,SELL,0.4808838241707254
395,2019-08-02,XRAY,Health Care,SELL,0.4847888386332794
396,2019-08-02,NWL,Consumer Discretionary,BUY,0.5068980304364777
397,2019-08-05,KLAC,Information Technology,BUY,0.5147209034837059
398,2019-08-05,STE,Health Care,SELL,0.48412855260144183
399,2019-08-05,O,Real Estate,SELL,0.47113309361860317
400,2019-08-05,J,Industrials,BUY,0.5147545030411735
401,2019-08-05,IFF,Materials,SELL,0.47818949540769606
402,2019-08-05,BRK-B,Financials,BUY,0.5084479113441461
403,2019-08-05,ANSS,Information Technology,BUY,0.5109685637621812
404,2019-08-05,TSN,Consumer Staples,SELL,0.38702971710678613
405,2019-08-05,L,Financials,BUY,0.5090800320965719
406,2019-08-05,LIN,Materials,SELL,0.4769443185836921
407,2019-08-05,MAR,Consumer Discretionary,BUY,0.5023182085525558
408,2019-08-05,TTWO,Communication Services,SELL,0.48738617470992585
409,2019-08-05,WEC,Utilities,BUY,0.5136939931858077
410,2019-08-06,DISCK,Communication Services,SELL,0.4824644629130922
411,2019-08-06,FANG,Energy,SELL,0.3718776039826488
412,2019-08-06,DUK,Utilities,BUY,0.5000292564667244
413,2019-08-06,DVN,Energy,SELL,0.4118785956359965
414,2019-08-06,EXPD,Industrials,BUY,0.5087698200797344
415,2019-08-06,MOS,Materials,SELL,0.48602870509328155
416,2019-08-06,AES,Utilities,BUY,0.517462100428583
417,2019-08-06,BDX,Health Care,SELL,0.4770193146232489
418,2019-08-06,WYNN,Consumer Discretionary,BUY,0.5078930794700501
419,2019-08-06,AIZ,Financials,BUY,0.531781127541186
420,2019-08-06,ZTS,Health Care,SELL,0.49051290605574216
421,2019-08-06,EMR,Industrials,BUY,0.5129711659943809
422,2019-08-06,DISCA,Communication Services,SELL,0.48204704413895705
423,2019-08-06,MCHP,Information Technology,BUY,0.513073644369995
424,2019-08-06,CZR,Consumer Discretionary,BUY,0.50651446342448
425,2019-08-06,FIS,Information Technology,BUY,0.5164003534978809
426,2019-08-06,PXD,Energy,SELL,0.31377253741527095
427,2019-08-06,REGN,Health Care,SELL,0.4766520150945845
428,2019-08-06,DIS,Communication Services,SELL,0.48793860108653164
429,2019-08-06,HSIC,Health Care,SELL,0.4769501060251464
430,2019-08-06,PPL,Utilities,BUY,0.5114273614910221
431,2019-08-06,FLT,Information Technology,BUY,0.5100232780371623
432,2019-08-07,FOXA,Communication Services,SELL,0.48632705425638634
433,2019-08-07,MRO,Energy,SELL,0.38978882571501683
434,2019-08-07,ATO,Utilities,SELL,0.4951414725361608
435,2019-08-07,TDG,Industrials,BUY,0.5131008086260705
436,2019-08-07,CVS,Health Care,SELL,0.46568934378855326
437,2019-08-07,BKNG,Consumer Discretionary,BUY,0.5004338983563573
438,2019-08-07,MNST,Consumer Staples,SELL,0.3843656018902876
